gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL3P4	3.6569091456955315e-122	0.6654588758823606	0.398	0.292	8.883363696723586e-118
SYNE1	1.8362435594827402e-121	-0.7503561279050429	0.211	0.321	4.4606028546954726e-117
RPL9P9	3.795882628459141e-121	0.6045115636015044	0.459	0.356	9.220958081052945e-117
FAM107B	5.277796803635532e-121	0.5048322203820919	0.561	0.461	1.2820823995391435e-116
NOP53	2.1906886924854008e-119	0.5676581858880989	0.484	0.38	5.321620971785536e-115
FKBP5	2.673736048846237e-119	0.781315195352309	0.38	0.281	6.495039609857279e-115
SH2D1A	3.6145876704190623e-119	-0.6653718906246003	0.268	0.381	8.780556368981986e-115
RPL41	7.575256219719556e-119	0.35690938990582843	0.742	0.662	1.8401812408942746e-114
RPS11	2.4645114455007693e-117	0.2653873843053489	0.908	0.87	5.986791203410469e-113
STOM	2.8096523730929855e-117	-0.580590353036451	0.244	0.36	6.82520754471748e-113
